week_start,disease_label,model_family,forecast_case_count,lower_95,upper_95,development_status
2026-01-05,DENGUE,SARIMA,3.658,0.0,9.113,SYNTHETIC_TECHNICAL_TESTING_ONLY
2026-01-12,DENGUE,SARIMA,4.353,0.0,10.1,SYNTHETIC_TECHNICAL_TESTING_ONLY
2026-01-19,DENGUE,SARIMA,5.082,0.0,10.861,SYNTHETIC_TECHNICAL_TESTING_ONLY
2026-01-26,DENGUE,SARIMA,5.762,0.0,11.544,SYNTHETIC_TECHNICAL_TESTING_ONLY
2026-02-02,DENGUE,SARIMA,5.052,0.0,10.834,SYNTHETIC_TECHNICAL_TESTING_ONLY
2026-02-09,DENGUE,SARIMA,4.878,0.0,10.66,SYNTHETIC_TECHNICAL_TESTING_ONLY
2026-02-16,DENGUE,SARIMA,5.444,0.0,11.226,SYNTHETIC_TECHNICAL_TESTING_ONLY
2026-02-23,DENGUE,SARIMA,5.071,0.0,10.853,SYNTHETIC_TECHNICAL_TESTING_ONLY
2026-03-02,DENGUE,SARIMA,5.633,0.0,11.415,SYNTHETIC_TECHNICAL_TESTING_ONLY
2026-03-09,DENGUE,SARIMA,5.821,0.039,11.603,SYNTHETIC_TECHNICAL_TESTING_ONLY
2026-03-16,DENGUE,SARIMA,5.446,0.0,11.228,SYNTHETIC_TECHNICAL_TESTING_ONLY
2026-03-23,DENGUE,SARIMA,5.633,0.0,11.415,SYNTHETIC_TECHNICAL_TESTING_ONLY
2026-01-05,ARI,ARIMA,5.095,0.359,9.831,SYNTHETIC_TECHNICAL_TESTING_ONLY
2026-01-12,ARI,ARIMA,5.107,0.372,9.843,SYNTHETIC_TECHNICAL_TESTING_ONLY
2026-01-19,ARI,ARIMA,5.094,0.358,9.83,SYNTHETIC_TECHNICAL_TESTING_ONLY
2026-01-26,ARI,ARIMA,5.098,0.362,9.834,SYNTHETIC_TECHNICAL_TESTING_ONLY
2026-02-02,ARI,ARIMA,5.09,0.354,9.826,SYNTHETIC_TECHNICAL_TESTING_ONLY
2026-02-09,ARI,ARIMA,5.091,0.355,9.827,SYNTHETIC_TECHNICAL_TESTING_ONLY
