month_start,medicine_code,medicine_name,model_family,forecast_quantity_dispensed,lower_95,upper_95,development_status
2026-01-01,SYN-MED-001,Paracetamol 500 mg Tablet,SARIMA,568.295,470.345,666.245,SYNTHETIC_TECHNICAL_TESTING_ONLY
2026-02-01,SYN-MED-001,Paracetamol 500 mg Tablet,SARIMA,616.104,511.36,720.847,SYNTHETIC_TECHNICAL_TESTING_ONLY
2026-03-01,SYN-MED-001,Paracetamol 500 mg Tablet,SARIMA,638.589,532.906,744.272,SYNTHETIC_TECHNICAL_TESTING_ONLY
2026-04-01,SYN-MED-001,Paracetamol 500 mg Tablet,SARIMA,618.617,512.8,724.434,SYNTHETIC_TECHNICAL_TESTING_ONLY
2026-05-01,SYN-MED-001,Paracetamol 500 mg Tablet,SARIMA,603.399,497.563,709.236,SYNTHETIC_TECHNICAL_TESTING_ONLY
2026-06-01,SYN-MED-001,Paracetamol 500 mg Tablet,SARIMA,580.344,474.505,686.183,SYNTHETIC_TECHNICAL_TESTING_ONLY
2026-01-01,SYN-MED-002,Oral Rehydration Salts Sachet,SARIMA,303.956,256.566,351.346,SYNTHETIC_TECHNICAL_TESTING_ONLY
2026-02-01,SYN-MED-002,Oral Rehydration Salts Sachet,SARIMA,285.409,237.422,333.397,SYNTHETIC_TECHNICAL_TESTING_ONLY
2026-03-01,SYN-MED-002,Oral Rehydration Salts Sachet,SARIMA,324.081,276.046,372.116,SYNTHETIC_TECHNICAL_TESTING_ONLY
2026-04-01,SYN-MED-002,Oral Rehydration Salts Sachet,SARIMA,301.808,253.769,349.847,SYNTHETIC_TECHNICAL_TESTING_ONLY
2026-05-01,SYN-MED-002,Oral Rehydration Salts Sachet,SARIMA,278.367,230.328,326.407,SYNTHETIC_TECHNICAL_TESTING_ONLY
2026-06-01,SYN-MED-002,Oral Rehydration Salts Sachet,SARIMA,269.269,221.229,317.308,SYNTHETIC_TECHNICAL_TESTING_ONLY
