week_start,disease_label,validated_case_count,validation_basis,data_source
2021-01-04,DENGUE,2,SYNTHETIC_WORKFLOW_STATE,SYNTHETIC_DEVELOPMENT_DATA
2021-01-04,ARI,14,SYNTHETIC_WORKFLOW_STATE,SYNTHETIC_DEVELOPMENT_DATA
2021-01-04,ILI,12,SYNTHETIC_WORKFLOW_STATE,SYNTHETIC_DEVELOPMENT_DATA
2021-01-04,DIARRHEA_GASTROENTERITIS,5,SYNTHETIC_WORKFLOW_STATE,SYNTHETIC_DEVELOPMENT_DATA
2021-01-11,DENGUE,0,SYNTHETIC_WORKFLOW_STATE,SYNTHETIC_DEVELOPMENT_DATA
2021-01-11,ARI,7,SYNTHETIC_WORKFLOW_STATE,SYNTHETIC_DEVELOPMENT_DATA
2021-01-11,ILI,7,SYNTHETIC_WORKFLOW_STATE,SYNTHETIC_DEVELOPMENT_DATA
2021-01-11,DIARRHEA_GASTROENTERITIS,2,SYNTHETIC_WORKFLOW_STATE,SYNTHETIC_DEVELOPMENT_DATA
2021-01-18,DENGUE,2,SYNTHETIC_WORKFLOW_STATE,SYNTHETIC_DEVELOPMENT_DATA
2021-01-18,ARI,7,SYNTHETIC_WORKFLOW_STATE,SYNTHETIC_DEVELOPMENT_DATA
2021-01-18,ILI,8,SYNTHETIC_WORKFLOW_STATE,SYNTHETIC_DEVELOPMENT_DATA
2021-01-18,DIARRHEA_GASTROENTERITIS,5,SYNTHETIC_WORKFLOW_STATE,SYNTHETIC_DEVELOPMENT_DATA
2021-01-25,DENGUE,3,SYNTHETIC_WORKFLOW_STATE,SYNTHETIC_DEVELOPMENT_DATA
2021-01-25,ARI,6,SYNTHETIC_WORKFLOW_STATE,SYNTHETIC_DEVELOPMENT_DATA
2021-01-25,ILI,3,SYNTHETIC_WORKFLOW_STATE,SYNTHETIC_DEVELOPMENT_DATA
2021-01-25,DIARRHEA_GASTROENTERITIS,3,SYNTHETIC_WORKFLOW_STATE,SYNTHETIC_DEVELOPMENT_DATA
2021-02-01,DENGUE,3,SYNTHETIC_WORKFLOW_STATE,SYNTHETIC_DEVELOPMENT_DATA
2021-02-01,ARI,5,SYNTHETIC_WORKFLOW_STATE,SYNTHETIC_DEVELOPMENT_DATA
2021-02-01,ILI,8,SYNTHETIC_WORKFLOW_STATE,SYNTHETIC_DEVELOPMENT_DATA
2021-02-01,DIARRHEA_GASTROENTERITIS,4,SYNTHETIC_WORKFLOW_STATE,SYNTHETIC_DEVELOPMENT_DATA
2021-02-08,DENGUE,1,SYNTHETIC_WORKFLOW_STATE,SYNTHETIC_DEVELOPMENT_DATA
2021-02-08,ARI,4,SYNTHETIC_WORKFLOW_STATE,SYNTHETIC_DEVELOPMENT_DATA
2021-02-08,ILI,7,SYNTHETIC_WORKFLOW_STATE,SYNTHETIC_DEVELOPMENT_DATA
